Plot,1.4,1.5,5.1,5.2,5.3,5.4,5.5,6.1,6.2,6.3
% Crude Protein,15.8,17.2,14.7,17,16.3,17.7,19.1,12.1,11.3,12.4
Nitrogen (Kjeldahl) %,2.6,2.9,2.4,2.7,2.5,2.8,3.1,1.9,1.9,1.8
Nitrate Nitrogen Mg/Kg,100,210,86,80,50,64,230,73,50,50
Phosphorus %,0.24,0.33,0.21,0.21,0.23,0.22,0.21,0.32,0.21,0.3
Potassium %,2,1.6,2.4,1.1,1.4,1.6,2.4,1.6,1.9,1.4
Sulfur %,0.25,0.28,0.21,0.25,0.27,0.24,0.23,0.23,0.25,0.28
Calcium %,0.32,0.3,0.28,0.34,0.33,0.36,0.26,0.33,0.27,0.3
Magnesium%,0.25,0.27,0.2,0.3,0.28,0.27,0.22,0.27,0.22,0.28
Sodium %,0.67,0.83,0.55,0.79,0.8,0.74,0.53,0.4,0.42,0.47
Chloride %,2.1,1.6,2,1.4,1.4,1.5,1.6,1.2,1.6,1.2
Manganese Mg/Kg,190,190,130,150,200,180,130,250,200,190
Iron Mg/Kg,120,110,110,150,150,200,130,220,140,160
Copper Mg/Kg,7.7,9.4,6.7,9.2,7.9,16,12,11,6.2,7.4
Zinc Mg/Kg,34,32,29,37,30,33,31,38,23,32
Molybdenum Mg/Kg,0.52,0.95,0.37,0.41,0.65,0.45,0.5,0.69,0.45,0.52
Boron Mg/Kg,6.5,5.2,5.6,2.5,2.4,3,2,7.6,4.1,6.3
N/P Ratio,11,8.8,11,13,11,13,15,5.9,9,6
N/K Ratio,1.3,1.8,1,2.5,1.8,1.8,1.3,1.2,1,1.3
N/S Ratio,10,10,11,11,9.3,12,13,8.3,7.6,6.4
Ammonium Nitrogen,160,160,120,170,130,160,160,120,89,120